# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
5.200000000000000178e-01  5.362197978456361147e-01  3.156862530904637199e-01  2.151818481815766237e-01
5.300000000000000266e-01  5.249515101148652940e-01  3.103806693174766540e-01  2.120516074700463105e-01
5.400000000000000355e-01  5.140038857022488639e-01  3.051861540947750084e-01  2.089738645814055162e-01
5.500000000000000444e-01  5.033640813923938584e-01  3.000995656146702162e-01  2.059475246462090237e-01
5.600000000000000533e-01  4.930199587764927394e-01  2.951178869339788902e-01  2.029715235828933317e-01
5.700000000000000622e-01  4.829600342451127459e-01  2.902382191798227318e-01  2.000448268835190724e-01
5.799999999999999600e-01  4.731734333311263807e-01  2.854577752333488094e-01  1.971664284650298526e-01
5.899999999999999689e-01  4.636498489565294978e-01  2.807738738501546205e-01  1.943353495814579279e-01
5.999999999999999778e-01  4.543795031894020120e-01  2.761839341803851156e-01  1.915506377928976878e-01
6.099999999999999867e-01  4.453531121628204748e-01  2.716854706551791176e-01  1.888113659874202099e-01
6.199999999999999956e-01  4.365618538471915944e-01  2.672760882094156187e-01  1.861166314524183574e-01
6.300000000000000044e-01  4.279973384020183680e-01  2.629534778136255468e-01  1.834655549921565820e-01
6.400000000000000133e-01  4.196515808633331512e-01  2.587154122905153120e-01  1.808572800885594190e-01
6.500000000000000222e-01  4.115169759494795576e-01  2.545597423938543713e-01  1.782909721025053851e-01
6.600000000000000311e-01  4.035862747911659887e-01  2.504843931295297477e-01  1.757658175131047995e-01
6.700000000000000400e-01  3.958525634121370929e-01  2.464873603004107405e-01  1.732810231926336653e-01
6.800000000000000488e-01  3.883092428048257050e-01  2.425667072583082007e-01  1.708358157149700574e-01
6.900000000000000577e-01  3.809500104612507654e-01  2.387205618477924451e-01  1.684294406955393619e-01
7.000000000000000666e-01  3.737688432335090627e-01  2.349471135279529443e-01  1.660611621609211774e-01
7.099999999999999645e-01  3.667599814106771161e-01  2.312446106593843975e-01  1.637302619464011399e-01
7.199999999999999734e-01  3.599179139100348590e-01  2.276113579447466284e-01  1.614360391198770006e-01
7.299999999999999822e-01  3.532373644903666343e-01  2.240457140122349422e-01  1.591778094306354474e-01
7.399999999999999911e-01  3.467132789038943619e-01  2.205460891321523453e-01  1.569549047816207465e-01
7.500000000000000000e-01  3.403408129112299729e-01  2.171109430575922650e-01  1.547666727239102868e-01
7.600000000000000089e-01  3.341153210907484850e-01  2.137387829809407336e-01  1.526124759721972646e-01
7.700000000000000178e-01  3.280323463800647876e-01  2.104281615985781340e-01  1.504916919401614317e-01
7.800000000000000266e-01  3.220876102929223772e-01  2.071776752767440222e-01  1.484037122946816056e-01
7.900000000000000355e-01  3.162770037598560124e-01  2.039859623120695575e-01  1.463479425279105295e-01
8.000000000000000444e-01  3.105965785455429007e-01  2.008517012807869984e-01  1.443238015462960100e-01
8.100000000000000533e-01  3.050425391998522473e-01  1.977736094710604853e-01  1.423307212756910467e-01
8.200000000000000622e-01  2.996112355032886643e-01  1.947504413933024425e-01  1.403681462817455983e-01
8.300000000000000711e-01  2.942991553708666497e-01  1.917809873637161822e-01  1.384355334048255615e-01
8.399999999999999689e-01  2.891029181814677163e-01  1.888640721566466896e-01  1.365323514087481982e-01
8.499999999999999778e-01  2.840192685024613972e-01  1.859985537216345963e-01  1.346580806426685983e-01
8.599999999999999867e-01  2.790450701818397161e-01  1.831833219613668295e-01  1.328122127154865439e-01
8.699999999999999956e-01  2.741773007823724573e-01  1.804172975669751100e-01  1.309942501821853011e-01
8.800000000000000044e-01  2.694130463343201165e-01  1.776994309073793854e-01  1.292037062415435367e-01
8.900000000000000133e-01  2.647494963851014793e-01  1.750287009696054330e-01  1.274401044446983322e-01
9.000000000000000222e-01  2.601839393259996469e-01  1.724041143471994331e-01  1.257029784140597517e-01
9.100000000000000311e-01  2.557137579775392577e-01  1.698247042740753110e-01  1.239918715721137210e-01
9.200000000000000400e-01  2.513364254165614264e-01  1.672895297012775284e-01  1.223063368796694639e-01
9.300000000000000488e-01  2.470495010293162208e-01  1.647976744143370142e-01  1.206459365831337172e-01
9.400000000000000577e-01  2.428506267760610626e-01  1.623482461890238815e-01  1.190102419704194281e-01
9.500000000000000666e-01  2.387375236537345735e-01  1.599403759834532868e-01  1.173988331351101810e-01
9.599999999999999645e-01  2.347079883442548809e-01  1.575732171646272994e-01  1.158112987485349632e-01
9.699999999999999734e-01  2.307598900368915684e-01  1.552459447676139415e-01  1.142472358394066578e-01
9.799999999999999822e-01  2.268911674140035029e-01  1.529577547856760811e-01  1.127062495807183984e-01
9.899999999999999911e-01  2.230998257901772863e-01  1.507078634897703329e-01  1.111879530835865881e-01
1.000000000000000000e+00  2.193839343955205079e-01  1.484955067759219371e-01  1.096919671977601984e-01
1.010000000000000009e+00  2.157416237944901338e-01  1.463199395390886726e-01  1.082179203185219679e-01
1.020000000000000018e+00  2.121710834322489969e-01  1.441804350721843930e-01  1.067654481997250826e-01
1.030000000000000027e+00  2.086705593010739213e-01  1.420762844890413878e-01  1.053341937727173272e-01
1.040000000000000036e+00  2.052383517198560492e-01  1.400067961701299823e-01  1.039238069709226137e-01
1.050000000000000044e+00  2.018728132201968173e-01  1.379712952299488871e-01  1.025339445598545812e-01
1.060000000000000053e+00  1.985723465330280768e-01  1.359691230050476818e-01  1.011642699723535876e-01
