# ISRF in the solar vicinity from
# Mathis, Mezger and Panagia 1983 table A3 and B1
# First column: photon energy (eV)
# Second column: J (erg cm-2 s-1 str-1 Hz-1)

1.239841973262508336e-03 5.680456080997475316e-06
1.549802466578135366e-03 7.135077544729537991e-06
2.066403288770847155e-03 1.261379780228971884e-05
3.099604933156270732e-03 2.382606251543614500e-05
4.132806577541694310e-03 3.320677830527028973e-05
6.199209866312541464e-03 5.956515628859034218e-05
8.265613155083388619e-03 8.122521312080501637e-05
1.239841973262508293e-02 8.387963185024309421e-05
1.377602192513898045e-02 7.783286598458313821e-05
1.549802466578135106e-02 7.135077544729539177e-05
1.771202818946440716e-02 5.865999950185196580e-05
2.066403288770847155e-02 4.548611934765081242e-05
2.479683946525016586e-02 2.707507104026834444e-05
3.099604933156270212e-02 1.299603409932880282e-05
4.132806577541694310e-02 4.061260656040250988e-06
4.959367893050033171e-02 1.891273344724626391e-06
6.199209866312540423e-02 7.570402216357384765e-07
1.033201644385423473e-01 8.447422164563721115e-07
1.239841973262508085e-01 8.653405057968115934e-07
1.549802466578135418e-01 7.355925183018787967e-07
1.549802466578135418e-01 5.470226117625979296e-07
2.066403288770846947e-01 8.800990739324874263e-07
2.479683946525016169e-01 1.167944240952751807e-06
3.099604933156270836e-01 1.609639517531247313e-06
3.646594039007376997e-01 1.991461725248537380e-05
5.166008221927118615e-01 2.889706405615462916e-06
5.635645333011400915e-01 3.096220182765745994e-06
6.888010962569489637e-01 3.491728573452018872e-06
1.033201644385423723e+00 3.539508110581902888e-06
1.377602192513897927e+00 2.838104505515187163e-06
1.771202818946440383e+00 1.990017721459722705e-06
2.254258133204560366e+00 1.260649815078376613e-06
2.850211432787375543e+00 7.534235761168789342e-07
3.583358304226903268e+00 4.131093103974307273e-07
4.959367893050033338e+00 1.206101510188424178e-07
5.390617275054383484e+00 1.158454693995010878e-07
5.740009135474575253e+00 1.135654617406876989e-07
5.904009396488134165e+00 1.124945311954584277e-06
6.199209866312540562e+00 1.104238191446238367e-07
6.888010962569490303e+00 1.066439268739040036e-07
8.670223589248310603e+00 9.878997964886801738e-08
9.537245948173142196e+00 9.196233688138202695e-08
1.127129066602280183e+01 6.552167191744938393e-08
1.239841973262508112e+01 3.901995532273967346e-08
1.362463706881877279e+01 2.351992840337004815e-08
