#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), cool (erg/cm3/s)

          30 ,          30
 -0.47586207E+001  0.31724138E+001 -0.37205482E+002
 -0.47586207E+001  0.34137931E+001 -0.36835994E+002
 -0.47586207E+001  0.36551724E+001 -0.36469636E+002
 -0.47586207E+001  0.38965517E+001 -0.36105072E+002
 -0.47586207E+001  0.41379310E+001 -0.35741546E+002
 -0.47586207E+001  0.43793103E+001 -0.35378626E+002
 -0.47586207E+001  0.46206897E+001 -0.35016058E+002
 -0.47586207E+001  0.48620690E+001 -0.34653696E+002
 -0.47586207E+001  0.51034483E+001 -0.34291455E+002
 -0.47586207E+001  0.53448276E+001 -0.33929285E+002
 -0.47586207E+001  0.55862069E+001 -0.33567157E+002
 -0.47586207E+001  0.58275862E+001 -0.33205053E+002
 -0.47586207E+001  0.60689655E+001 -0.32842963E+002
 -0.47586207E+001  0.63103448E+001 -0.32480882E+002
 -0.47586207E+001  0.65517241E+001 -0.32118806E+002
 -0.47586207E+001  0.67931034E+001 -0.31756733E+002
 -0.47586207E+001  0.70344828E+001 -0.31394662E+002
 -0.47586207E+001  0.72758621E+001 -0.31032591E+002
 -0.47586207E+001  0.75172414E+001 -0.30670521E+002
 -0.47586207E+001  0.77586207E+001 -0.30308452E+002
 -0.47586207E+001  0.80000000E+001 -0.29946383E+002
 
 -0.43448276E+001  0.10000000E+001 -0.40000000E+002
 -0.43448276E+001  0.12413793E+001 -0.40000000E+002
 -0.43448276E+001  0.14827586E+001 -0.40000000E+002
 -0.43448276E+001  0.17241379E+001 -0.39839581E+002
 -0.43448276E+001  0.19655172E+001 -0.38550980E+002
 -0.43448276E+001  0.22068966E+001 -0.37992220E+002
 -0.43448276E+001  0.24482759E+001 -0.37544859E+002
 -0.43448276E+001  0.26896552E+001 -0.37139381E+002
 -0.43448276E+001  0.29310345E+001 -0.36753695E+002
 -0.43448276E+001  0.31724138E+001 -0.36378345E+002
 -0.43448276E+001  0.34137931E+001 -0.36008673E+002
 -0.43448276E+001  0.36551724E+001 -0.35642206E+002
 -0.43448276E+001  0.38965517E+001 -0.35277579E+002
 -0.43448276E+001  0.41379310E+001 -0.34914016E+002
 -0.43448276E+001  0.43793103E+001 -0.34551073E+002
 -0.43448276E+001  0.46206897E+001 -0.34188492E+002
 -0.43448276E+001  0.48620690E+001 -0.33826122E+002
 -0.43448276E+001  0.51034483E+001 -0.33463876E+002
 -0.43448276E+001  0.53448276E+001 -0.33101703E+002
 -0.43448276E+001  0.55862069E+001 -0.32739573E+002
 -0.43448276E+001  0.58275862E+001 -0.32377468E+002
 -0.43448276E+001  0.60689655E+001 -0.32015378E+002
 -0.43448276E+001  0.63103448E+001 -0.31653297E+002
 -0.43448276E+001  0.65517241E+001 -0.31291220E+002
 -0.43448276E+001  0.67931034E+001 -0.30929147E+002
 -0.43448276E+001  0.70344828E+001 -0.30567076E+002
 -0.43448276E+001  0.72758621E+001 -0.30205005E+002
 -0.43448276E+001  0.75172414E+001 -0.29842935E+002
 -0.43448276E+001  0.77586207E+001 -0.29480866E+002
 -0.43448276E+001  0.80000000E+001 -0.29118796E+002
 
 -0.39310345E+001  0.10000000E+001 -0.40000000E+002
 -0.39310345E+001  0.12413793E+001 -0.40000000E+002
 -0.39310345E+001  0.14827586E+001 -0.40000000E+002
 -0.39310345E+001  0.17241379E+001 -0.39143152E+002
 -0.39310345E+001  0.19655172E+001 -0.37736843E+002
 -0.39310345E+001  0.22068966E+001 -0.37169904E+002
 -0.39310345E+001  0.24482759E+001 -0.36719893E+002
 -0.39310345E+001  0.26896552E+001 -0.36313221E+002
 -0.39310345E+001  0.29310345E+001 -0.35926920E+002
 -0.39310345E+001  0.31724138E+001 -0.35551231E+002
 -0.39310345E+001  0.34137931E+001 -0.35181365E+002
 -0.39310345E+001  0.36551724E+001 -0.34814786E+002
 -0.39310345E+001  0.38965517E+001 -0.34450092E+002
 -0.39310345E+001  0.41379310E+001 -0.34086489E+002
 -0.39310345E+001  0.43793103E+001 -0.33723522E+002
 -0.39310345E+001  0.46206897E+001 -0.33360927E+002
 -0.39310345E+001  0.48620690E+001 -0.32998549E+002
 -0.39310345E+001  0.51034483E+001 -0.32636298E+002
 -0.39310345E+001  0.53448276E+001 -0.32274122E+002
 -0.39310345E+001  0.55862069E+001 -0.31911990E+002
 -0.39310345E+001  0.58275862E+001 -0.31549884E+002
 -0.39310345E+001  0.60689655E+001 -0.31187793E+002
 -0.39310345E+001  0.63103448E+001 -0.30825711E+002
 -0.39310345E+001  0.65517241E+001 -0.30463635E+002
 -0.39310345E+001  0.67931034E+001 -0.30101561E+002
 -0.39310345E+001  0.70344828E+001 -0.29739489E+002
 -0.39310345E+001  0.72758621E+001 -0.29377419E+002
 -0.39310345E+001  0.75172414E+001 -0.29015349E+002
 -0.39310345E+001  0.77586207E+001 -0.28653280E+002
 -0.39310345E+001  0.80000000E+001 -0.28291210E+002
 
 -0.35172414E+001  0.10000000E+001 -0.40000000E+002
 -0.35172414E+001  0.12413793E+001 -0.40000000E+002
 -0.35172414E+001  0.14827586E+001 -0.40000000E+002
 -0.35172414E+001  0.17241379E+001 -0.38476112E+002
 -0.35172414E+001  0.19655172E+001 -0.36923717E+002
 -0.35172414E+001  0.22068966E+001 -0.36347897E+002
 -0.35172414E+001  0.24482759E+001 -0.35895068E+002
 -0.35172414E+001  0.26896552E+001 -0.35487135E+002
 -0.35172414E+001  0.29310345E+001 -0.35100187E+002
 -0.35172414E+001  0.31724138E+001 -0.34724141E+002
 -0.35172414E+001  0.34137931E+001 -0.34354071E+002
 -0.35172414E+001  0.36551724E+001 -0.33987374E+002
 -0.35172414E+001  0.38965517E+001 -0.33622610E+002
 -0.35172414E+001  0.41379310E+001 -0.33258966E+002
 -0.35172414E+001  0.43793103E+001 -0.32895974E+002
 -0.35172414E+001  0.46206897E+001 -0.32533363E+002
 -0.35172414E+001  0.48620690E+001 -0.32170976E+002
 -0.35172414E+001  0.51034483E+001 -0.31808720E+002
 -0.35172414E+001  0.53448276E+001 -0.31446541E+002
 -0.35172414E+001  0.55862069E+001 -0.31084407E+002
 -0.35172414E+001  0.58275862E+001 -0.30722300E+002
 -0.35172414E+001  0.60689655E+001 -0.30360208E+002
 -0.35172414E+001  0.63103448E+001 -0.29998126E+002
 -0.35172414E+001  0.65517241E+001 -0.29636049E+002
 -0.35172414E+001  0.67931034E+001 -0.29273975E+002
 -0.35172414E+001  0.70344828E+001 -0.28911903E+002
 -0.35172414E+001  0.72758621E+001 -0.28549833E+002
 -0.35172414E+001  0.75172414E+001 -0.28187763E+002
 -0.35172414E+001  0.77586207E+001 -0.27825693E+002
 -0.35172414E+001  0.80000000E+001 -0.27463624E+002
 
 -0.31034483E+001  0.10000000E+001 -0.40000000E+002
 -0.31034483E+001  0.12413793E+001 -0.40000000E+002
 -0.31034483E+001  0.14827586E+001 -0.40000000E+002
 -0.31034483E+001  0.17241379E+001 -0.37843273E+002
 -0.31034483E+001  0.19655172E+001 -0.36111725E+002
 -0.31034483E+001  0.22068966E+001 -0.35526227E+002
 -0.31034483E+001  0.24482759E+001 -0.35070396E+002
 -0.31034483E+001  0.26896552E+001 -0.34661131E+002
 -0.31034483E+001  0.29310345E+001 -0.34273499E+002
 -0.31034483E+001  0.31724138E+001 -0.33897078E+002
 -0.31034483E+001  0.34137931E+001 -0.33526794E+002
 -0.31034483E+001  0.36551724E+001 -0.33159971E+002
 -0.31034483E+001  0.38965517E+001 -0.32795134E+002
 -0.31034483E+001  0.41379310E+001 -0.32431445E+002
 -0.31034483E+001  0.43793103E+001 -0.32068427E+002
