#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.47586207E+001  0.31724138E+001 -0.21551831E+002
 -0.47586207E+001  0.34137931E+001 -0.21869561E+002
 -0.47586207E+001  0.36551724E+001 -0.22213326E+002
 -0.47586207E+001  0.38965517E+001 -0.22569821E+002
 -0.47586207E+001  0.41379310E+001 -0.22932336E+002
 -0.47586207E+001  0.43793103E+001 -0.23297770E+002
 -0.47586207E+001  0.46206897E+001 -0.23664738E+002
 -0.47586207E+001  0.48620690E+001 -0.24032624E+002
 -0.47586207E+001  0.51034483E+001 -0.24401149E+002
 -0.47586207E+001  0.53448276E+001 -0.24770189E+002
 -0.47586207E+001  0.55862069E+001 -0.25139688E+002
 -0.47586207E+001  0.58275862E+001 -0.25509624E+002
 -0.47586207E+001  0.60689655E+001 -0.25879990E+002
 -0.47586207E+001  0.63103448E+001 -0.26250787E+002
 -0.47586207E+001  0.65517241E+001 -0.26622021E+002
 -0.47586207E+001  0.67931034E+001 -0.26993697E+002
 -0.47586207E+001  0.70344828E+001 -0.27365822E+002
 -0.47586207E+001  0.72758621E+001 -0.27738403E+002
 -0.47586207E+001  0.75172414E+001 -0.28111444E+002
 -0.47586207E+001  0.77586207E+001 -0.28484950E+002
 -0.47586207E+001  0.80000000E+001 -0.28858923E+002
 
 -0.43448276E+001  0.10000000E+001 -0.20839917E+002
 -0.43448276E+001  0.12413793E+001 -0.20745503E+002
 -0.43448276E+001  0.14827586E+001 -0.20663107E+002
 -0.43448276E+001  0.17241379E+001 -0.20624166E+002
 -0.43448276E+001  0.19655172E+001 -0.20569214E+002
 -0.43448276E+001  0.22068966E+001 -0.20542580E+002
 -0.43448276E+001  0.24482759E+001 -0.20570891E+002
 -0.43448276E+001  0.26896552E+001 -0.20677921E+002
 -0.43448276E+001  0.29310345E+001 -0.20873388E+002
 -0.43448276E+001  0.31724138E+001 -0.21143231E+002
 -0.43448276E+001  0.34137931E+001 -0.21461278E+002
 -0.43448276E+001  0.36551724E+001 -0.21805380E+002
 -0.43448276E+001  0.38965517E+001 -0.22162227E+002
 -0.43448276E+001  0.41379310E+001 -0.22525109E+002
 -0.43448276E+001  0.43793103E+001 -0.22890926E+002
 -0.43448276E+001  0.46206897E+001 -0.23258291E+002
 -0.43448276E+001  0.48620690E+001 -0.23626588E+002
 -0.43448276E+001  0.51034483E+001 -0.23995540E+002
 -0.43448276E+001  0.53448276E+001 -0.24365020E+002
 -0.43448276E+001  0.55862069E+001 -0.24734974E+002
 -0.43448276E+001  0.58275862E+001 -0.25105378E+002
 -0.43448276E+001  0.60689655E+001 -0.25476224E+002
 -0.43448276E+001  0.63103448E+001 -0.25847513E+002
 -0.43448276E+001  0.65517241E+001 -0.26219249E+002
 -0.43448276E+001  0.67931034E+001 -0.26591437E+002
 -0.43448276E+001  0.70344828E+001 -0.26964082E+002
 -0.43448276E+001  0.72758621E+001 -0.27337188E+002
 -0.43448276E+001  0.75172414E+001 -0.27710760E+002
 -0.43448276E+001  0.77586207E+001 -0.28084800E+002
 -0.43448276E+001  0.80000000E+001 -0.28459308E+002
 
 -0.39310345E+001  0.10000000E+001 -0.20426123E+002
 -0.39310345E+001  0.12413793E+001 -0.20331710E+002
 -0.39310345E+001  0.14827586E+001 -0.20249314E+002
 -0.39310345E+001  0.17241379E+001 -0.20212691E+002
 -0.39310345E+001  0.19655172E+001 -0.20159615E+002
 -0.39310345E+001  0.22068966E+001 -0.20133317E+002
 -0.39310345E+001  0.24482759E+001 -0.20161854E+002
