  0.68357215E-010  0.63814611E-010  0.73223182E-010  0.31468906E+000
  0.78435531E-010  0.73223182E-010  0.84018917E-010  0.32159555E+000
  0.89999753E-010  0.84018917E-010  0.96406331E-010  0.32756180E+000
  0.10326896E-009  0.96406331E-010  0.11062010E-009  0.33186411E+000
  0.11849452E-009  0.11062010E-009  0.12692948E-009  0.33120489E+000
  0.13596488E-009  0.12692948E-009  0.14564346E-009  0.32522019E+000
  0.15601100E-009  0.14564346E-009  0.16711655E-009  0.31626686E+000
  0.17901264E-009  0.16711655E-009  0.19175555E-009  0.30119059E+000
  0.20540555E-009  0.19175555E-009  0.22002722E-009  0.28850160E+000
  0.23568973E-009  0.22002722E-009  0.25246716E-009  0.26605674E+000
  0.27043889E-009  0.25246716E-009  0.28968991E-009  0.24328415E+000
  0.31031132E-009  0.28968991E-009  0.33240064E-009  0.22199365E+000
  0.35606238E-009  0.33240064E-009  0.38140847E-009  0.19868970E+000
  0.40855880E-009  0.38140847E-009  0.43764181E-009  0.17640114E+000
  0.46879508E-009  0.43764181E-009  0.50216598E-009  0.11348594E+001
  0.53791236E-009  0.50216598E-009  0.57620333E-009  0.12431362E+001
  0.61722002E-009  0.57620333E-009  0.66115645E-009  0.11639776E+001
  0.70822048E-009  0.66115645E-009  0.75863473E-009  0.10584571E+001
  0.81263768E-009  0.75863473E-009  0.87048481E-009  0.92669233E+000
  0.93244975E-009  0.87048481E-009  0.99882562E-009  0.84922467E+000
  0.10699264E-008  0.99882562E-009  0.11460885E-008  0.71429689E+000
  0.12276721E-008  0.11460885E-008  0.13150632E-008  0.61727532E+000
  0.14086752E-008  0.13150632E-008  0.15089509E-008  0.52893901E+000
  0.16163647E-008  0.15089509E-008  0.17314246E-008  0.42916119E+000
  0.18546750E-008  0.17314246E-008  0.19866989E-008  0.34186491E+000
