#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.47586207E+001  0.38965517E+001  0.18365776E+001
 -0.47586207E+001  0.41379310E+001  0.18468210E+001
 -0.47586207E+001  0.43793103E+001  0.18572846E+001
 -0.47586207E+001  0.46206897E+001  0.18679855E+001
 -0.47586207E+001  0.48620690E+001  0.18789392E+001
 -0.47586207E+001  0.51034483E+001  0.18901601E+001
 -0.47586207E+001  0.53448276E+001  0.19016628E+001
 -0.47586207E+001  0.55862069E+001  0.19134620E+001
 -0.47586207E+001  0.58275862E+001  0.19255734E+001
 -0.47586207E+001  0.60689655E+001  0.19380135E+001
 -0.47586207E+001  0.63103448E+001  0.19507998E+001
 -0.47586207E+001  0.65517241E+001  0.19639515E+001
 -0.47586207E+001  0.67931034E+001  0.19774887E+001
 -0.47586207E+001  0.70344828E+001  0.19914338E+001
 -0.47586207E+001  0.72758621E+001  0.20058106E+001
 -0.47586207E+001  0.75172414E+001  0.20206452E+001
 -0.47586207E+001  0.77586207E+001  0.20359661E+001
 -0.47586207E+001  0.80000000E+001  0.20518041E+001
 
 -0.43448276E+001  0.10000000E+001  0.10213373E+001
 -0.43448276E+001  0.12413793E+001  0.12627153E+001
 -0.43448276E+001  0.14827586E+001  0.15040941E+001
 -0.43448276E+001  0.17241379E+001  0.17302387E+001
 -0.43448276E+001  0.19655172E+001  0.17629173E+001
 -0.43448276E+001  0.22068966E+001  0.17765333E+001
 -0.43448276E+001  0.24482759E+001  0.17876372E+001
 -0.43448276E+001  0.26896552E+001  0.17979128E+001
 -0.43448276E+001  0.29310345E+001  0.18078965E+001
 -0.43448276E+001  0.31724138E+001  0.18178238E+001
 -0.43448276E+001  0.34137931E+001  0.18278165E+001
 -0.43448276E+001  0.36551724E+001  0.18379445E+001
 -0.43448276E+001  0.38965517E+001  0.18482519E+001
 -0.43448276E+001  0.41379310E+001  0.18587684E+001
 -0.43448276E+001  0.43793103E+001  0.18695165E+001
 -0.43448276E+001  0.46206897E+001  0.18805146E+001
