# The following is the Haardt&Madau radiation flux from quasars+galaxies.
# For details see Haardt&Madau ApJ, 764, 125, 2012.
# It has been re-arranged to be readable by KROME, the first value is the redshift,
# then energy in eV, and 3th column is the radiation flux in eV/s/cm2/Hz/sr
# Range of redshift 0-15.66, step-size 0.270
# Range of energy   0.1237-4.997d7 eV in logscale
# Table 59x500
#  Redshift   log10(E(eV))     log10(Jflux)
            59, 500
   0.000     0.1196630E+01    -0.1139383E+02
   0.000     0.1213877E+01    -0.1142066E+02
   0.000     0.1231124E+01    -0.1144606E+02
   0.000     0.1248371E+01    -0.1147150E+02
   0.000     0.1265618E+01    -0.1149717E+02
   0.000     0.1282865E+01    -0.1152327E+02
   0.000     0.1300112E+01    -0.1155005E+02
   0.000     0.1317358E+01    -0.1157732E+02
   0.000     0.1334605E+01    -0.1160575E+02
   0.000     0.1351852E+01    -0.1163424E+02
   0.000     0.1369099E+01    -0.1166310E+02
   0.000     0.1386346E+01    -0.1169256E+02
   0.000     0.1403593E+01    -0.1172261E+02
   0.000     0.1420840E+01    -0.1175347E+02
   0.000     0.1438087E+01    -0.1178505E+02
   0.000     0.1455334E+01    -0.1181731E+02
   0.000     0.1472581E+01    -0.1185012E+02
   0.000     0.1489828E+01    -0.1188342E+02
   0.000     0.1507075E+01    -0.1191727E+02
   0.000     0.1524322E+01    -0.1212865E+02
   0.000     0.1541569E+01    -0.1213615E+02
   0.000     0.1558816E+01    -0.1214364E+02
   0.000     0.1576063E+01    -0.1215113E+02
   0.000     0.1593310E+01    -0.1229615E+02
   0.000     0.1610557E+01    -0.1233053E+02
   0.000     0.1627804E+01    -0.1235399E+02
   0.000     0.1645051E+01    -0.1236868E+02
   0.000     0.1662298E+01    -0.1236863E+02
   0.000     0.1679545E+01    -0.1236859E+02
   0.000     0.1696792E+01    -0.1236855E+02
   0.000     0.1714039E+01    -0.1236850E+02
   0.000     0.1731286E+01    -0.1236846E+02
   0.000     0.1748533E+01    -0.1239926E+02
   0.000     0.1765780E+01    -0.1242620E+02
   0.000     0.1783027E+01    -0.1244064E+02
   0.000     0.1800274E+01    -0.1245253E+02
   0.000     0.1817521E+01    -0.1246393E+02
   0.000     0.1834768E+01    -0.1247532E+02
   0.000     0.1852015E+01    -0.1248666E+02
   0.000     0.1869262E+01    -0.1249792E+02
   0.000     0.1886509E+01    -0.1250910E+02
   0.000     0.1903756E+01    -0.1252023E+02
   0.000     0.1921003E+01    -0.1253119E+02
   0.000     0.1938250E+01    -0.1254233E+02
   0.000     0.1955497E+01    -0.1255342E+02
   0.000     0.1972744E+01    -0.1256473E+02
   0.000     0.1989991E+01    -0.1257630E+02
   0.000     0.2007238E+01    -0.1258785E+02
   0.000     0.2024484E+01    -0.1260008E+02
   0.000     0.2041731E+01    -0.1261274E+02
   0.000     0.2058978E+01    -0.1262582E+02
   0.000     0.2076225E+01    -0.1263930E+02
   0.000     0.2093472E+01    -0.1265323E+02
   0.000     0.2110719E+01    -0.1266782E+02
   0.000     0.2127966E+01    -0.1268293E+02
   0.000     0.2145213E+01    -0.1269871E+02
   0.000     0.2162460E+01    -0.1271508E+02
   0.000     0.2179707E+01    -0.1273206E+02
   0.000     0.2196954E+01    -0.1274962E+02
   0.000     0.2214201E+01    -0.1276756E+02
   0.000     0.2231448E+01    -0.1278633E+02
   0.000     0.2248695E+01    -0.1280555E+02
   0.000     0.2265942E+01    -0.1282526E+02
   0.000     0.2283189E+01    -0.1284552E+02
   0.000     0.2300436E+01    -0.1286631E+02
   0.000     0.2317683E+01    -0.1288734E+02
   0.000     0.2334930E+01    -0.1290894E+02
   0.000     0.2352177E+01    -0.1293108E+02
   0.000     0.2369424E+01    -0.1295355E+02
   0.000     0.2386671E+01    -0.1297632E+02
   0.000     0.2403918E+01    -0.1299945E+02
   0.000     0.2421165E+01    -0.1302270E+02
   0.000     0.2438412E+01    -0.1304641E+02
   0.000     0.2455659E+01    -0.1307044E+02
   0.000     0.2472906E+01    -0.1309476E+02
   0.000     0.2490153E+01    -0.1311863E+02
   0.000     0.2507400E+01    -0.1314107E+02
   0.000     0.2524647E+01    -0.1316308E+02
   0.000     0.2541894E+01    -0.1318170E+02
